,Rank,Song,Artist,Year,Lyrics
861,6,airplanes,bob featuring hayley williams,2010, can we pretend that airplanes in the night sky are like shootin stars i could really use a wish right now wish right now wish right now can we pretend that airplanes in the night sky are like shootin stars i could really use a wish right now wish right now wish right nowyeah yeah i could use a dream or a genie or a wish to go back to a place much simpler than this cause after all the partying and smashing and crashing and all the glitz and glam and the fashion and all the pandemonium and all the madness there comes a time when you fade to the blackness and when youre staring at the phone in your lap and you hoping but them people never call you back but thats just how the story unfolds you get another hand soon after you fold and when your plans unravel in the sand what would you wish for if you had one chance so airplane airplane sorry im late im on my way so dont close that gate if i dont make that then ill switch my flight and ill be right back at it by the end of the nightcan we pretend that airplanes in the night sky are like shootin stars i could really use a wish right now wish right now wish right now can we pretend that airplanes in the night sky are like shootin stars i could really use a wish right now wish right now wish right nowyeah yeah somebody take me back to the days before this was a job before i got paid before it ever mattered what i had in my bank yeah back when i was trying to get a tip at subway and back then i was rapping for the hell of it but nowadays we rapping to stay relevant im guessing if can make some wishes out of airplanes then maybe oh maybe ill go back to the days before the politics that we call the rap game and back when aint nobody listened to my mix tape and back before when i tried to cover up my slang but this is for the decatur whats up bobby ray so can i get a wish to end the politics and get back to the music that started this shit so here i stand and then again i say im hoping we can make some wishes outta airplanescan we pretend that airplanes in the night sky are like shootin stars i could really use a wish right now wish right now wish right now can we pretend that airplanes in the night sky are like shootin stars i could really use a wish right now wish right now wish right nowi could really use a wish right now i i i could really use a wish right now like like like shootin stars i i i could really use a wish right now a wish a wish right now 
862,7,love the way you lie,eminem featuring rihanna,2010, just gonna stand there and watch me burn but thats alright because i like the way it hurts just gonna stand there and hear me cry but thats alright because i love the way you lie i love the way you liei cant tell you what it really is i can only tell you what it feels like and right now theres a steel knife in my windpipe i cant breathe but i still fight while i can fight as long as the wrong feels right its like im in flight high off of love drunk from my hate its like im huffing paint and i love it the more that i suffer i suffocate and right before im about to drown she resuscitates me she fucking hates me and i love it wait where you going im leaving you no you aint come back were running right back here we go again its so insane cause when its going good its going great im superman with the wind at his back shes lois lane but when its bad its awful i feel so ashamed i snapped whos that dude i dont even know his name i laid hands on her ill never stoop so low again i guess i dont know my own strengthjust gonna stand there and watch me burn but thats alright because i like the way it hurts just gonna stand there and hear me cry but thats alright because i love the way you lie i love the way you lie i love the way you lieyou ever love somebody so much you can barely breathe when youre with them you meet and neither one of you even know what hit em got that warm fuzzy feeling yeah them chills used to get em now youre getting fucking sick of looking at em you swore youve never hit em never do nothing to hurt em now youre in each others face spewing venom and these words when you spit em you push pull each others hair scratch claw bit em throw em down pin em so lost in the moments when youre in em its the rage thats the culprit it controls you both so they say its best to go your separate ways guess that they dont know ya cause today that was yesterday yesterday is over its a different day sound like broken records playin over but you promised her next time youll show restraint you dont get another chance life is no nintendo game but you lied again now you get to watch her leave out the window guess thats why they call it window panejust gonna stand there and watch me burn but thats alright because i like the way it hurts just gonna stand there and hear me cry but thats alright because i love the way you lie i love the way you lie i love the way you lienow i know we said things did things that we didnt mean and we fall back into the same patterns same routine but your tempers just as bad as mine is youre the same as me but when it comes to love youre just as blinded baby please come back it wasnt you baby it was me maybe our relationship isnt as crazy as it seems maybe thats what happens when a tornado meets a volcano all i know is i love you too much to walk away now come inside pick up your bags off the sidewalk dont you hear sincerity in my voice when i talk told you this is my fault look me in the eyeball next time im pissed ill aim my fist at the dry wall next time there will be no next time i apologize even though i know its lies im tired of the games i just want her back i know im a liar if she ever tries to fucking leave again im a tie her to the bed and set this house on firejust gonna stand there and watch me burn but thats alright because i like the way it hurts just gonna stand there and hear me cry but thats alright because i love the way you lie i love the way you lie i love the way you lie 
863,8,bad romance,lady gaga,2010, ohohohohoh ohohohohohoh caught in a bad romance ohohohohoh ohohohohohoh caught in a bad romancerah rah ahahah ro mah romahmah gaga ohlala want your bad romancerah rah ahahah ro mah romahmah gaga oohlala want your bad romancei want your ugly i want your disease i want your everything as long as its free i want your love lovelovelove i want your lovei want your drama the touch of your hand i want your leather studded kiss in the sand i want your love lovelovelove i want your love lovelovelove i want your loveyou know that i want you and you know that i need you i want it bad your bad romancei want your love and i want your revenge you and me could write a bad romance ohohohohoooh i want your love and all your lovers revenge you and me could write a bad romanceohohohohoh ohohohohohoh caught in a bad romanceohohohohooh ohohoohohohoh caught in a bad romancerah rah ahahah ro mah romahmah gaga oohlala want your bad romancei want your horror i want your design cause youre a criminal as long as your mine i want your love lovelovelove i want your lovei want your psycho your vertigo shtick want you in my rear window baby youre sick i want your love lovelovelove i want your love lovelovelove i want your loveyou know that i want you and you know that i need you i want it bad bad romancei want your love and i want your revenge you and me could write a bad romance ohohohohooh i want your love and all your lovers revenge you and me could write a bad romanceohohohohooh ohohoohohohoh caught in a bad romanceohohohohooh ohohoohohohoh caught in a bad romancerah rah ahahah ro mah romahmah gaga oohlala want your bad romancerah rah ahahah ro mah romahmah gaga ohlala want your bad romancewalk walk fashion baby work it move that bitch crazy walkwalk fashion baby work it move that bitch crazy walkwalk fashion baby work it move that bitch crazy walkwalk passion baby work it im a free bitch babyi want your love and i want your revenge i want your love i dont wanna be friendsjveux ton amour et je veux ta revanche jveux ton amour i dont wanna be friends i dont wanna be friends i dont wanna be friends i dont wanna be friends want your bad romance caught in a bad romance want your bad romancei want your love and i want your revenge you and me could write a bad romance ohohohohooh i want your love and all your lovers revenge you and me could write a bad romanceohohohohooh want your bad romance caught in a bad romance want your bad romance ohohohohooh want your bad romance caught in a bad romancerah rah ahahah ro mah romahmah gaga oohlala want your bad romance 
864,9,dynamite,taio cruz,2010, i came to dancedancedancedance yeah i hit the floor cause thats my plans plans plans plans yeah im wearing all my favorite brands brands brands brands yeah give me some space for both my hands hands hands hands yeah yeah cause it goes on and on and on and it goes on and on and on yeahi throw my hands up in the air sometimes saying ayeoh gotta let go i wanna celebrate and live my life saying ayoh baby lets go cause we gon rock this club we gon go all night we gon light it up like its dynamite cause i told you once now i told you twice we gon light it up like its dynamitei came to move move move move get out the way of me and my crew crew crew crew yea im in the club so im gonna do do do do yea just what i came here to do do do do yeah yeah cause it goes on and on and on and it goes on and on and on yeahi throw my hands up in the air sometimes saying ayoh gotta let go i wanna celebrate and live my life saying ayoh baby lets go cause we gon rock this club we gon go all night we gon light it up like its dynamite cause i told you once now i told you twice we gon light it up like its dynamiteim gonna take it all i im gonna be the last one standing higher overall i im gonna be the last one landing cause i i i believe it and i i i i just want it all i just want it all im gonna put my hands in the air hands in the air put your hands in the airi throw my hands up in the air sometimes saying ayoh gotta let go i wanna celebrate and live my life saying ayoh baby lets go cause we gon rock this club we gon go all night we gon light it up like its dynamite cause i told you once now i told you twice we gon light it up like its dynamite 
865,10,break your heart,taio cruz featuring ludacris,2010, whoa luda now i may not be the worst or the best but you gotta respect my honesty whoa and i may break your heart but i dont really think theres anybody as bomb as me whoa so you can take this chance in the end everybodys gonna be wondering how you deal whoa you might say this is ludacris but taio cruz tell her how you feelnow listen to me baby uh uh oh oh before i love and leave you uh uh oh oh they call me heart breaker uh uh oh oh i dont wanna deceive you uh uh oh oh ohif you fall for me im not easy to please i might tear you apart told you from the start baby from the startim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heart whoa whoatheres no point trying to hide it uh uh oh oh no point trying to evade it uh uh oh oh i know i got a problem uh uh oh oh problem with misbehaving uh uh oh oh ohif you fall for me im not easy to please i might tear you apart told you from the start baby from the startim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heartthats all im gonna do woman whoa listen now im only gonna break your heart and shatter and splatter it all into little bitty pieces whether or not you get it all together then its finders keepers and losers weepers see im not trying to lead you on no im only trying to keep it real whoa you might say this is ludacris but taio cruz tell her how you feeleh and i know karmas gonna get me back for being so cold eh like a big bad wolf im born to be bad and bad to the bone eh if you fall for me im only gonna tear you apart eh told ya from the start ehim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heart whoa whoa whoa whoa 
866,11,nothin on you,bob featuring bruno mars,2010, beautiful girls all over the world i could be chasing but my time would be wasted they got nothin on you baby nothin on you babythey might say hi and i might say hey but you shouldnt worry about what they say cause they got nothin on you baby nothin on you babyno no no nothin on you babe no no nothin on you i know you feel where im coming from regardless of the things in my past that ive done most of it really was for the hell of the fun on the carousel so around i spun spun with no directions just tryna get some some tryna chase skirts living in the summer sun sun an so i lost more than i had ever won and honestly i ended up with nonetheres so much nonsense its on my conscience im thinking baby i should get it out and i dont wanna sound redundant but i was wondering if there was something that you wanna know that you wanna know but never mind that we should let it go we should let it go cause we dont wanna be a tv episode tv episode and all the bad thoughts just let them go go go gobeautiful girls all over the world i could be chasing but my time would be wasted they got nothin on you baby no no no nothin on you babe no no nothin on you nothin on you baby no no no nothin on you babe no no nothin on you they might say hi hi and i might say hey hey but you shouldnt worry about what they say cause they got nothin on you baby no no no nothin on you babe no no nothin on you nothin on you baby no no no nothin on you babe no no nothin on youhands down there will never be another one i been around and i never seen another one because your style i aint really got nothin on and you wow when you got nothin on baby you the whole package plus you pay your taxes and you keep it real while them other stay plastic youre my wonder women call me mr fantastic stop now think about itive been to london ive been to paris even way out there in tokyo back home down in georgia to new orleans but you always steal the show steal the show and just like that girl you got a fro got a fro like a nintendo 64 64 if you never knew well now you know know know knowbeautiful girls all over the world all over i could be chasing but my time would be wasted haha they got nothin on you baby no no no nothin on you babe no no nothin on you nothin on you baby no no no nothin on you babe no no nothin on you they might say hi hi and i might say hey hey but you shouldnt worry about what they say why cause they got nothin on you baby no no no nothin on you babe no no nothin on you nothin on you baby no no no nothin on you babe no no nothin on youeverywhere i go im always hearing your name name name and no matter where im at girl you make me wanna sing sing whether a bus or a plane plane or a car or a train train no other girls in my brain and you the one to blame blamebeautiful girls all over the world all over i could be chasing but my time would be wasted why they got nothin on you baby no no no nothin on you babe no no nothin on you nothin on you baby no no no nothin on you babe no no nothin on you they might say hi hi and i might say hey hello but you shouldnt worry about what they say why cause they got nothin on you baby no no no nothin on you babe no no nothin on you nothin on you baby no no no nothin on you babe no no nothin on youyeah and thats just how we do it ha ha and im a let this ride bob and bruno mars 
867,12,i like it,enrique iglesias featuring pitbull,2010, one life one love enrique iglesias pitbull yall know what time it is go go go deejay we go set it off tonight just go go go go deejay set the club on fire just go go go go deejay the club is on fire enrique holler at them likegirl please excuse me if im coming too strong but tonight is the night we can really let go my girlfriends out of town and im all alone your boyfriends on vacation and he doesnt have to know no oh oh oh oh no one can do the things im gonna wanna do to you no oh oh oh oh shout out loud scream out loud let me hear you gobaby i like it the way you move on the floor baby i like it come on and give me some more oh yes i like it screaming like never before baby i like it i i i like itparty caramba fiesta forevergirl please excuse me if im misbehaving oh im trying to keep my hands off but youre begging me for more round round round give a low low low let the time time pass cause were never getting old no oh oh oh oh no one can do it better turn around ill give you more no oh oh oh oh shout out loud scream out loud let me hear you gobaby i like it the way you move on the floor baby i like it come on and give me some more oh yes i like it screaming like never before baby i like it i i i like itcome deejay thats my deejay im a miami boy you know how we play i aint playing with you but i want to play with you get me got me good now watch meits a different species meet me in dc lets party on the white house lawn tiger woods times jesse james equals pitbull all night long wake up barack and michelle let em know that its on pa fuera pa la calle dale mamita tirame ese baile dale mamita tirame ese baile i see you watchin me you see me watchin you i love the way you move i like them things you do likedont stop baby dont stop baby just keep on shaking along i wont stop baby wont stop baby until you get enoughparty caramba fiesta foreverbaby i like it the way you move on the floor baby i like it come on and give me some more oh yes i like it screaming like never before baby i like it i i i like itbaby i like it the way you move on the floor baby i like it come on and give me some more oh yes i like it screaming like never before baby i like it i i i like itparty oh yes i like it caramba fiesta forever oh yes i like it party caramba oh yes i like it fiesta forever oh i like it 
868,13,bedrock,young money featuring lloyd,2010, iii i can make your bed rock young money iii i can make your bed rock girl iii i can make your bed rock iii i can make your bed rockshe got that good good she michael jackson bad im attracted to her with her attractive ass and now we murderers because we kill time i knock her lights out and she still shine i hate to see her go but i love to watch her leave but i keep her running back and forth like a soccer team cold as a winters day hot as a summers eve young money thieves steal your love and leavei like the way you walk you walkin if you walkin my way im that red bull now lets fly away lets buy a place with all kind of space i let you be the judge an an and im the case im gudda gudda i put her under i see me with her no stevie wonder she dont even wonder cause she know she bad and i got her nigga grocery bagooh ooh baby i be stuck to you like glue glue baby wanna spend it all on you you baby my room is the g spot call me mr flintstone i can make your bed rock ooh iii i can make your bed rock ooh iii i can make your bed rock girl ooh iii i can make your bed rock ooh iii i can make your bed rockok i get it let me think i guess its my turn maybe its time to put this pussy on ya sideburns he say im bad he probably right he pressing me like button downs on a friday night haha im so pretty like be on my pedal bike be on my low starch be on my ecko whites he say nicki dont stop you the bestest and i just be coming off the top asbestosi love ya sushi roll hotter than wasabi i race for your love shake and bake ricky bobby im at the w but i cant meet you in the lobby girl i gotta watch my back cause im not just anybody i seen em stand in line just to get beside her i let her see the aston and let the rest surprise her thats when we disappear and you need gps to find her oh that was your girl i thought i recognized herooh ooh baby baby i be stuck to you like glue glue baby wanna spend it all on you you baby my room is the g spot call me mrflintstone i can make your bed rock ooh iii i can make your bed rock ooh iii i can make your bed rock girl ooh iii i can make your bed rock ooh iii i can make your bed rockshe like tanning i like staying in she like romancing i like rolling with friends she said im caged in i think her conscience is she watching that oxygen im watching espn but when that show end she all on my skin lotion slow motions while we roller coastin like back forth hold it hold it hold it hold it hold it she pose like its for posters and i poke like im suppose to take this photo if you for me she said dont you ever show this im too loyal loyal loyal and too focused focused focused to be losing losin losin and be hopeless hopeless hopeless when i spoke this she rejoiced it said your word get me open so i closed it where your clothes is im only lovin for the moment for the moment for the momentshe aint got a man but shes not alone miss independent yea she got her own hey gorgeous um i mean flawless well thats what you are how i see it is how i call it yea llook at how she walk mhmm she know she bad ddo your thing baby i aint even mad and i aint leavin fast im a stay a while hold ya head chris iim a take her downoh baby i be stuck to you like glue glue baby wanna spend it all on you you baby my room is the g spot call me mr flintstone i can make your bed rock girl young money yeah iii i can make your bed rock ooh iii i can make your bed rock girl ooh gudda gudda iii i can make your bed rock ooh tstreetz mack maine iii i can make your bed rock jae millzoh baby drizzy drake i be stuck to you nicki minaj like glue glue baby hey shanell wanna spend it all on you you lil twist baby lil chuckey my room is the g spot and young lloyd call me mr flintstone i can make your bed rock girl hey iii i can make your bed rock ooh we young money iii i can make your bed rock girl ooh iii i can make your bed rock ooh iii i can make your bed rock 
869,14,in my head,"jason der""ulo",2010,jason deṛlo beluga heights j j j r come on everybodys looking for love oh aint that the reason youre at this club oh you aint gon find it dancing with him no no i got a better solution for you girl oh just leave with me now say the word and well go ill be your teacher ill show you the ropes youll see a side of love youve never known i can see it goin down goin down in my head i see you all over me in my head you fulfill my fantasy my head youll be screaming oh in my head its going down my head its going down in my head yeah in my head oh yeah some dudes know all the right things to say oh when it comes down to it its all just game so instead of talking lemme demonstrate yeah get down to business and skip foreplay just leave with me now say the word and well go ill be your teacher ill show you the ropes youll see a side of love youve never known i can see it goin down goin down in my head i see you all over me in my head you fulfill my fantasy my head youll be screaming oh in my head its going down my head its going down in my head break it down come on lets go you singin to me baby in my head right now come on shell be screaming out when it all goes down just leave with me now say the word and well go ill be your teacher ill show you the ropes youll see a side of love youve never known i can see it goin down goin down in my head i see you all over me in my head you fulfill my fantasy my head youll be screaming oh in my head its going down my head its going down in my head i see you all over me in my head you fulfill my fantasy my head youll be screaming oh in my head its going down my head its going down its going down in my head
870,15,rude boy,rihanna,2010, come here rude boy boy can you get it up come here rude boy boy is you big enough take it take it yeah baby baby yeah take it take it yeah love me love me yeahcome here rude boy boy can you get it up come here rude boy boy is you big enough take it take it yeah baby baby yeah take it take it yeah love me love me yeahtonight imma let you be the captain tonight imma let you do your thing yeah tonight imma let you be a rider giddy up giddy up giddy up babetonight imma let it be fire tonight imma let you take me higher tonight baby we can get it on yeah we can get it on yeahdo you like it boy i wawawant what you wawawant give it to me baby like boom boom boom what i wawawant is what you wawawant na naahcome here rude boy boy can you get it up come here rude boy boy is you big enough take it take it yeah baby baby yeah take it take it yeah love me love me yeahcome here rude boy boy can you get it up come here rude boy boy is you big enough take it take it yeah baby baby yeah take it take it yeah love me love me yeahtonight imma give it to you harder tonight imma turn your body out relax let me do it how i wanna if you got it i need it and imma put it downbuckle up imma give it to you stronger hands up we can go a little longer tonight imma get a little crazy get a little crazy babydo you like it boy i wawawant what you wawawant give it to me baby like boom boom boom what i wawawant is what you wawawant na naahcome here rude boy boy can you get it up come here rude boy boy is you big enough take it take it yeah baby baby yeah take it take it yeah love me love me yeahcome here rude boy boy can you get it up come here rude boy boy is you big enough take it take it yeah baby baby yeah take it take it yeah love me love me yeahi like the way you touch me there i like the way you pull my hair babe if i dont feel it i aint faking no noi like when you tell me kiss me there i like when you tell me move it thereso giddy up time to giddy up you say youre a rude boy show me what you got nowcome here right nowtake it take it baby baby take it take it love me love mecome here rude boy boy can you get it up come here rude boy boy is you big enough oh take it take it yeah baby baby yeah take it take it yeah love me love me yeahcome here rude boy boy can you get it up come here come here rude boy boy is you big enough oh take it take it yeah baby baby yeah take it take it yeah love me love me yeahlove me love me love me love me love me love metake it take it take it baby baby take it take it love me love melove me yeah love me love me yeah love me love me yeah love metake it take it baby baby take it take it love me love me 
871,16,telephone,lady gaga featuring beyonce,2010, hello hello baby you called i cant hear a thing i have got no service in the club you see see whawhawhat did you say oh youre breaking up on me sorry i cannot hear you im kinda busykkinda busy kkinda busy sorry i cannot hear you im kinda busyjust a second its my favorite song theyre gonna play and i cannot text you with a drink in my hand eh you shoulda made some plans with me you knew that i was free and now you wont stop calling me im kinda busystop callin stop callin i dont wanna think any more i left my head and heart on the dance floor stop callin stop callin i dont wanna talk anymore its got my head and my heart on the dance flooreh eh eh eh eh eh eh eh eh eh stop telephonin me eh eh eh eh eh eh eh eh eh im busy eh eh eh eh eh eh eh eh stop telephonin me eh eh eh eh eh eh ehcall all you want but theres no one home and youre not gonna reach my telephone out in the club and im sippin that bub and youre not gonna reach my telephonecall all you want but theres no one home and youre not gonna reach my telephone out in the club and im sippin that bub and youre not gonna reach my telephoneboy the way you blowin up my phone wont make me leave no faster put my coat on faster leave my girls no faster i shoulda left my phone at home cause this is a disaster callin like a collector sorry i cannot answernot that i dont like you im just at a party and i am sick and tired of my phone ringin sometimes i feel like i live in grand central station tonight im not takin no calls cause ill be dancincause ill be dancin cause ill be dancin tonight im not takin no calls cause ill be dancinstop callin stop callin i dont wanna think any more i left my head and my heart on the dance floor stop callin stop callin i dont wanna talk any more i left my head and my heart on the dance floorstop callin stop callin i dont wanna think any more i left my head and my heart on the dance floor stop callin stop callin i dont wanna talk any more i left my head and my heart on the dance flooreh eh eh eh eh eh eh eh eh eh stop telephonin me eh eh eh eh eh eh eh eh eh im busy eh eh eh eh eh eh eh stop telephonin me eh eh eh eh eh eh ehcan call all you want but theres no one home youre not gonna reach my telephone cause im out in the club and im sippin that bub and youre not gonna reach my telephonecall when you want but theres no one home and youre not gonna reach my telephone cause im out in the club and im sippin that bub and youre not gonna reach my telephonemy telephone mmmy telephone cause im out in the club and im sippin that bub and youre not gonna reach my telephonemy telephone mmmy telephone cause im out in the club and im sippin that bub and youre not gonna reach my telephonewere sorry the number you have reached is not in service at this time please check the number or try your call again 
872,17,teenage dream,katy perry,2010, you think im pretty without any makeup on you think im funny when i tell the punch line wrong i know you get me so i let my walls come down downbefore you met me i was all right but things were kinda heavy you brought me to life now every february youll be my valentine valentinelets go all the way tonight no regrets just love we can dance until we die you and i will be young foreveryou make me feel like im living a teenage dream the way you turn me on i cant sleep lets run away and dont ever look back dont ever look backmy heart stops when you look at me just one touch now baby i believe this is real so take a chance and dont ever look back dont ever look backwe drove to cali and got drunk on the beach got a motel and built a fort out of sheets i finally found you my missing puzzle piece im completelets go all the way tonight no regrets just love we can dance until we die you and i well be young foreveryou make me feel like im living a teenage dream the way you turn me on i cant sleep lets run away and dont ever look back dont ever look backmy heart stops when you look at me just one touch now baby i believe this is real so take a chance and dont ever look back dont ever look backima get your heart racing in my skintight jeans be your teenage dream tonight let you put your hands on me in my skintight jeans be your teenage dream tonightyouuuu you make me feel like im living a teenage dream the way you turn me on i cant sleep lets runaway and dont ever look back dont ever look backmy heart stops when you look at me just one touch now baby i believe this is real so take a chance and dont ever look back dont ever look backima get your heart racing in my skintight jeans be your teenage dream tonight let you put your hands on me in my skintight jeans be your teenage dream tonight 
873,18,just the way you are,bruno mars,2010, oh her eyes her eyes make the stars look like theyre not shining her hair her hair falls perfectly without her trying shes so beautiful and i tell her everydayyeah i know i know when i compliment her she wont believe me and its so its so sad to think that she doesnt see what i see but every time she ask me do i look okay i saywhen i see your face theres not a thing that i would change cause youre amazing just the way you areand when you smile the whole world stops and stares for a while cause girl youre amazing just the way you areher lips her lips i could kiss them all day if shed let me her laugh her laugh she hates but i think its so sexy shes so beautiful and i tell her everydayoh you know you know you know id never ask you to change if perfects what youre searching for then just stay the same so dont even bother asking if you look okay you know ill saywhen i see your face theres not a thing that i would change cause girl youre amazing just the way you areand when you smile the whole world stops and stares for a while cause girl youre amazing just the way you arethe way you are the way you are girl youre amazing just the way you arewhen i see your face theres not a thing that i would change cause girl youre amazing just the way you areand when you smile the whole world stops and stares for a while cause girl youre amazing just the way you are yeah 
874,19,cooler than me,mike posner,2010, if i could write you a song and make you fall in love i would already have you up under my arm i used up all my tricks i hope that you like this but you probably wont you think youre cooler than meyou got designer shades just to hide your face and you wear them around like youre cooler than me and you never say hey or remember my name its probably cause you think youre cooler than meyou got your high brow shoes on your feet and you wear them around like they aint wrong but you dont know the way that you look when your steps make that much noisesee i got you all figured out you meet everyones eyes just to feel seen behind your makeup nobody knows who you really are who you think that you areif i could write you a song and make you fall in love i would already have you up under my arm i used up all my tricks i hope that you like this but you probably wont you think youre cooler than meyou got designer shades just to hide your face and you wear them around like youre cooler than me and you never say hey or remember my name its probably cause you think youre cooler than meyou got your hot crowd switch in your walk and you dont even look when you pass by but you dont know the way that you look when your steps make that much noiseand dont you dare act like you dont know know whats up cause your nose is up im approaching up like i cant give you winter in the summer or summer in the winter miami in december trying to look bored in them diors she probably is was acting shallow til she found out how deep that my pockets is mrs prima madonna this is your reminder that i think youre fine but im finercause it sure seems cause it sure seems you got no doubt that you got no doubt but we all see we all see you got your head in the clouds cloudsif i could write you a song and make you fall in love i would already have you up under my arm i used up all my tricks i hope that you like this but you probably wont you think youre cooler than meyou got designer shades just to hide your face and you wear them around like youre cooler than me and you never say hey or remember my name its probably cause you think youre cooler than me 
875,20,imma be,the black eyed peas,2010, imma be imma be imma imma imma be imma be imma be imma imma imma be imma be imma be imma imma imma beimma be be be be imma imma be imma be be be be imma imma be imma be be be be imma imma beimma be on the next level imma be rockin over that bass treble imma be chillin with my mutha mutha crew imma be makin all them deals you wanna doimma be up in them alist flicks doin onehanded flips and imma be sippin on drinks cause imma be shakin my hips you gon be lickin your lipsimma be takin them pics lookin all fly and shit imma be the flyest chick so fly imma be spreadin my wings imma be doin my thang do it do it okayimma imma swing it this way imma imma imma imma swing it that way this is fergie ferg and imma imma be here to say the 21st century until infinityimma be imma be imma imma imma be imma be imma be imma imma imma berich baby quick quick imma imma imma be the shit baby check me out be imma be imma be on top never stop be be imma imma be imma be be beimma imma be imma be fuckin her imma imma imma be imma be be be imma imma beimma be the upgraded new negro imma be the average brother with soul imma be worldwide international imma be in rio rockin tokyoimma be brilliant with my millions loan out a billion and get back a trillion imma be a brother but my name aint lehman imma be ya bank i be loaning out semenhoneys in debt baby bouncin them checks but i dont really mind when they bouncin them chicks imma be imma be imma imma imma be rich baby imma be imma be immaimma be sick with the flow when the goal is to rock the whole globe imma be the future imma be the whole reason why you even wanna come to a show you can see me while im rockin and im kickin down the door thenimma be up in the club doin whatever i like imma be poppin that bubbly coolin and livin that good life oh lets make this last forever partyin with you together on and on and on and on and on and on and on and on andimma be rockin like this wat yall niggas wanna talk shit but why dont you put it on the blog nigga rockin like this my job niggawe cant help that we popular and all these folks want to flock to us come to a show and just rock with us a million plus with binocularsimma be imma be imma be imma be imma be livin that good life imma be livin that good good imma be imma be imma be imma be imma be livin that good life imma be livin that good goodimma be imma be imma be imma be imma be livin that good life imma be livin that good good imma be imma be imma be imma be imma be livin that good life imma be livin that good good imma be imma be imma be imma be imma be imma beimma imma imma be rockin their ipod to the infinite bep we definitely on some next level shit futuristic musically powerful with energy from the soul we sonically sending positivitycrossed the globe and seven seas take care of our families rockin shows makin cheese imma be out with my peas livin life feelin free thats how its supposed to be come join my festivities celebrate like imma beimma be imma be imma be imma be imma be imma be imma be imma be imma be imma be imma be imma be 
876,1,rolling in the deep,adele,2011, theres a fire starting in my heart reaching a fever pitch its bringing me out the dark finally i can see you crystal clear clean version go head and sell me out and ill lay your ship bare explicit version go head and sell me out and ill lay your shit bare see how i leave with every piece of you dont underestimate the things that i will dotheres a fire starting in my heart reaching a fever pitch and its bringing me out the darkthe scars of your love remind me of us they keep me thinking that we almost had it all the scars of your love they leave me breathless i cant help feeling we could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met me and you played it to the beat tears are gonna fall rolling in the deepbaby i have no story to be told but ive heard one on you and im gonna make your head burn think of me in the depths of your despair make a home down there as mine sure wont be sharedyoure gonna wish you never had met me the scars of your love remind me of us tears are gonna fall rolling in the deep they keep me thinking that we almost had it all youre gonna wish you never had met me the scars of your love they leave me breathless tears are gonna fall rolling in the deep i cant help feeling we could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met me and you played it to the beat tears are gonna fall rolling in the deep we could have had it all rolling in the deep you had my heart inside of your hand but you played it with a beatingthrow your soul through every open door woah count your blessings to find what you look for woah turn my sorrow into treasured gold woah youll pay me back in kind and reap just what you sow woah youre gonna wish you never had met me we could have had it all tears are gonna fall rolling in the deep we could have had it all youre gonna wish you never had met me it all it all it all tears are gonna fall rolling in the deepwe could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met me and you played it to the beat tears are gonna fall rolling in the deepwe could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met mebut you played it you played it you played it you played it to the beat 
877,2,party rock anthem,lmfao featuring lauren bennett and goonrock,2011, party rock yeah woo lets goparty rock is in the house tonight everybody just have a good time and we gonna make you lose your mind everybody just have a good timeparty rock is in the house tonight everybody just have a good time and we gonna make you lose your mind we just wanna see ya shake that ass in the club party rock lookin for your girl she on the top nonstop when we in the spot party movin like its on the block where the dance i gots to know tight jeans cool shoes cause im rock n roll half black half white domino game the money opadoeyo im runnin through these streets like drano i got that devilish flow rock n roll no halo we party rock yeah thats the crew that im with on the rise to the top no lead in our zeppelin heyparty rock is in the house tonight everybody just have a good time and we gonna make you lose your mind everybody just have a good timeparty rock is in the house tonight everybody just have a good time and we gonna make you lose your mind we just wanna see ya shake thateveryday im shufflin shufflin shufflinstep up fast and be the first one to make me blow this cash we gettin money dont be mad now stop hating is badone more shot for us another round please fill up my cup dont mess around we just wanna see you shake it now now you wanna be youre shakin nowget up get down put your hands up to the sound get up get down put your hands up to the sound get up get down put your hands up to the sound put your hands up to the sound put your hands up to the soundget up get up get up get up get up get up get up get up get up put your hands up to the sound to the sound put your hands up put your hands up put your hands up put your hands upparty rock is in the house tonight put your hands up everybody just have a good time put your hands up and we gonna make you lose your mind put your hands up everybody just have a good good good timeput your hands up put your hands up put your hands up shake that everyday im shufflinpush up push up push up push up push up push up push up push up push up push up 
